	-25.0	-104.3	 5.9
	-20.9	-101.3	 1.0
	-17.8	 -98.5	 3.6
	-15.0	 -85.0	 3.3
	-12.6	 -79.7	 2.7
	 -9.9	 -86.0	 7.5
	 -8.1	 -85.2	 0.5
	 -6.8	 -79.3	 1.3
	 -6.1	 -75.8	 0.7
	 -5.4	 -70.0	 3.6
	 -4.7	 -64.8	10.0
	 -4.0	 -62.5	 0.1
	 -3.3	 -57.1	 1.9
	 -2.6	 -40.2	 5.1
	 -1.9	 -29.4	 4.4
	 -1.2	 -10.2	 5.7
	 -0.5	  -1.4	 4.0
	  0.1	   9.3	 1.0
	  0.8	  19.4	 0.4
	  1.5	  30.2	 0.2
	  3.2	  49.6	 4.5
	  4.6	  65.3	 5.4
	  5.7	  67.0	 1.5
	  6.8	  64.3	 2.9
	  8.4	  62.7	 4.2
	 10.0	  68.4	 5.0
	 13.0	  74.0	 7.3
	 18.3	  98.4	 3.0
	 21.3	 108.6	 0.2
	 23.9	 102.5	 3.0
	 26.1	 107.4	 2.7
	 28.4	 104.0	 4.7
	 33.6	 113.3	 4.5
	 37.4	 117.2	 1.1
	 41.3	 119.0	 5.0
	 45.0	 137.1	 0.5
	 47.8	 135.6	 1.2
	 50.5	 140.5	 2.4
	 54.7	 142.7	 2.4
