	-59.2	-243.4	 5.4
	-52.6	-247.2	 0.8
	-45.7	-230.6	 3.7
	-39.1	-228.5	 0.5
	-32.7	-239.7	 6.5
	-29.2	-248.7	 0.7
	-25.1	-252.6	 2.6
	-21.3	-236.5	 1.2
	-18.0	-232.5	 3.3
	-15.4	-239.3	 7.9
	-12.2	-254.8	 1.9
	 -9.2	-240.9	 1.2
	 -7.2	-231.2	 2.3
	 -6.0	-230.8	 4.1
	 -5.3	-194.5	 4.1
	 -4.6	-143.6	 3.2
	 -3.6	 -97.9	 7.1
	 -2.2	 -53.0	 2.2
	 -1.2	 -33.3	10.3
	  0.2	 -16.2	10.3
	  1.2	  50.4	 1.3
	  2.6	  81.8	 2.3
	  3.6	 143.0	10.3
	  4.3	 185.8	10.3
	  5.0	 194.6	 4.7
	  6.1	 208.3	 0.9
	  7.9	 208.9	 3.1
	  9.6	 217.9	 3.7
	 12.6	 246.2	 6.6
	 14.0	 258.8	 3.3
	 17.0	 264.6	 2.0
	 21.9	 248.3	10.1
	 26.9	 228.1	 3.3
	 32.4	 222.3	 6.4
	 38.8	 226.1	10.3
	 44.3	 215.8	10.3
