	-26.9	-150.1	 4.4
	-23.1	-147.1	 2.2
	-19.0	-141.9	 1.5
	-15.2	-135.0	 1.5
	-13.5	-131.5	 0.7
	-11.4	-125.8	 3.0
	 -9.0	-106.6	 3.0
	 -6.9	-110.8	 0.5
	 -4.8	 -93.8	 7.1
	 -3.1	 -82.7	13.2
	 -2.1	 -45.2	10.8
	 -1.4	 -32.0	 8.6
	 -0.7	 -10.4	 6.4
	  0.0	  -5.1	 3.9
	  0.7	   9.4	 6.9
	  1.4	  24.1	 6.4
	  2.3	  50.6	 3.8
	  3.5	  74.8	 0.5
	  4.5	  89.4	 2.1
	  6.2	 102.7	 3.6
	  8.3	  97.1	 4.5
	 11.0	 121.5	 0.5
	 13.1	 133.2	 4.1
	 14.8	 136.9	 0.1
	 16.6	 137.5	 3.1
	 19.7	 152.3	 0.6
	 23.8	 153.1	 0.7
	 27.6	 150.3	 1.5
