E0140040	212
E0840411	80
E1200211	15
E1870510	18
E2060140	60
E3020120	69
E3050090	11
E4250180	86
E4880049	22
F563-1		45
F568-3		77
F571-8		48
F579-V1		85
F583-1		32
F583-4		49
F730-V1		144
U4115		3.2
U5750		56
U6614		85
U11454		91
U11557		22
U11583		5
U11616		73
U11648		48
U11748		73
U11819		60
